BOROUGH,CREATED_DATE,ZIP_CODE,BOROUGH_UNIQUE,INCIDENTS_BY_BOROUGH,DATE_UNIQUE,INCIDENTS_BY_DATE_STATIC,INCIDENTS_BY_DATE,MONTH,INCIDENTS_BY_MONTH
QUEENS,10/14/2021,11103,QUEENS,862,10/14/2021,24,24,2021-Jan,1
BRONX,12/17/2021,10472,BRONX,456,12/17/2021,27,27,2021-Feb,1
QUEENS,11/29/2021,11368,BROOKLYN,2195,11/29/2021,92,92,2021-Mar,3
BROOKLYN,1/5/2022,11214,MANHATTAN,742,1/5/2022,36,36,2021-Apr,5
QUEENS,9/23/2021,11101,STATEN ISLAND,77,9/23/2021,53,53,2021-May,80
QUEENS,9/8/2021,11368,,,9/8/2021,25,25,2021-Jun,292
MANHATTAN,11/8/2021,10009,,,11/8/2021,44,44,2021-Jul,329
BROOKLYN,11/12/2021,11208,,,11/12/2021,24,24,2021-Aug,762
BRONX,12/7/2021,10462,,,12/7/2021,40,40,2021-Sep,727
MANHATTAN,8/24/2021,10021,,,8/24/2021,38,38,2021-Oct,476
BROOKLYN,9/24/2021,11219,,,9/24/2021,68,68,2021-Nov,623
QUEENS,7/1/2021,11694,,,7/1/2021,13,13,2021-Dec,858
QUEENS,7/20/2021,11355,,,7/20/2021,25,25,2022-Jan,175
BROOKLYN,11/16/2021,11221,,,11/16/2021,41,41,,
BROOKLYN,11/18/2021,11204,,,11/18/2021,10,10,,
QUEENS,7/19/2021,11418,,,7/19/2021,24,24,,
BROOKLYN,9/29/2021,11212,,,9/29/2021,85,85,,
MANHATTAN,11/30/2021,10012,,,11/30/2021,51,51,,
BROOKLYN,5/26/2021,11249,,,5/26/2021,13,13,,
BROOKLYN,6/24/2021,11237,,,6/24/2021,30,30,,
BROOKLYN,10/3/2021,11221,,,10/3/2021,10,10,,
MANHATTAN,11/5/2021,10039,,,11/5/2021,23,23,,
BROOKLYN,10/13/2021,11237,,,10/13/2021,23,23,,
BROOKLYN,10/20/2021,11226,,,10/20/2021,47,47,,
STATEN ISLAND,6/24/2021,10306,,,12/19/2021,10,10,,
BROOKLYN,12/19/2021,11233,,,6/30/2021,8,8,,
BROOKLYN,6/30/2021,11206,,,6/8/2021,12,12,,
BROOKLYN,9/24/2021,11225,,,11/22/2021,22,22,,
QUEENS,6/8/2021,11417,,,12/10/2021,66,66,,
BRONX,12/7/2021,10462,,,8/27/2021,45,45,,
BROOKLYN,11/22/2021,11204,,,11/4/2021,31,31,,
BRONX,12/10/2021,10458,,,1/3/2022,41,41,,
MANHATTAN,8/27/2021,10002,,,10/6/2021,25,25,,
BROOKLYN,11/4/2021,11220,,,12/2/2021,102,102,,
MANHATTAN,1/3/2022,10009,,,9/21/2021,44,44,,
BROOKLYN,10/6/2021,11206,,,9/5/2021,16,16,,
BROOKLYN,12/2/2021,11219,,,8/17/2021,13,13,,
QUEENS,12/2/2021,11421,,,12/1/2021,55,55,,
QUEENS,9/21/2021,11101,,,6/18/2021,9,9,,
QUEENS,9/21/2021,11368,,,5/25/2021,38,38,,
BROOKLYN,9/5/2021,11233,,,9/20/2021,30,30,,
BROOKLYN,6/8/2021,11208,,,1/4/2022,13,13,,
BROOKLYN,5/26/2021,11206,,,9/9/2021,37,37,,
BROOKLYN,8/17/2021,11224,,,10/18/2021,31,31,,
MANHATTAN,12/1/2021,10012,,,10/29/2021,29,29,,
BROOKLYN,6/18/2021,11210,,,10/21/2021,30,30,,
MANHATTAN,5/25/2021,10026,,,11/15/2021,35,35,,
BROOKLYN,9/20/2021,11214,,,8/26/2021,18,18,,
BROOKLYN,1/4/2022,11212,,,7/12/2021,9,9,,
MANHATTAN,9/20/2021,10012,,,8/12/2021,33,33,,
QUEENS,9/9/2021,11372,,,6/13/2021,6,6,,
BROOKLYN,10/18/2021,11212,,,10/8/2021,15,15,,
BROOKLYN,10/18/2021,11223,,,10/26/2021,13,13,,
BROOKLYN,10/29/2021,11224,,,9/22/2021,31,31,,
BROOKLYN,10/21/2021,11218,,,6/25/2021,9,9,,
BROOKLYN,11/15/2021,11205,,,7/21/2021,8,8,,
MANHATTAN,8/26/2021,10013,,,12/8/2021,94,94,,
BROOKLYN,10/20/2021,11213,,,8/9/2021,86,86,,
BRONX,7/12/2021,10454,,,11/17/2021,57,57,,
QUEENS,8/12/2021,11368,,,12/4/2021,17,17,,
MANHATTAN,6/13/2021,10013,,,6/16/2021,5,5,,
BROOKLYN,10/8/2021,11205,,,10/12/2021,20,20,,
BROOKLYN,10/26/2021,11215,,,8/6/2021,12,12,,
QUEENS,9/22/2021,11373,,,8/20/2021,13,13,,
BROOKLYN,6/25/2021,11222,,,9/15/2021,23,23,,
BROOKLYN,7/21/2021,11237,,,8/23/2021,33,33,,
BROOKLYN,12/8/2021,11220,,,11/9/2021,45,45,,
BROOKLYN,8/9/2021,11233,,,9/14/2021,48,48,,
BROOKLYN,11/17/2021,11221,,,7/9/2021,7,7,,
STATEN ISLAND,12/4/2021,10301,,,8/11/2021,50,50,,
BROOKLYN,12/10/2021,11204,,,6/23/2021,14,14,,
BROOKLYN,8/12/2021,11220,,,12/28/2021,71,71,,
QUEENS,6/16/2021,11373,,,8/8/2021,30,30,,
BROOKLYN,10/12/2021,11226,,,10/1/2021,34,34,,
BROOKLYN,8/6/2021,11211,,,10/5/2021,11,11,,
BRONX,8/20/2021,10454,,,7/29/2021,26,26,,
BRONX,9/15/2021,10453,,,8/25/2021,25,25,,
STATEN ISLAND,8/23/2021,10304,,,9/26/2021,19,19,,
QUEENS,11/9/2021,11102,,,12/26/2021,5,5,,
BROOKLYN,11/30/2021,11214,,,10/4/2021,32,32,,
BRONX,7/20/2021,10462,,,9/30/2021,22,22,,
QUEENS,11/29/2021,11368,,,12/6/2021,41,41,,
MANHATTAN,9/14/2021,10027,,,11/24/2021,6,6,,
BRONX,7/9/2021,10461,,,10/27/2021,15,15,,
BROOKLYN,8/11/2021,11203,,,9/28/2021,66,66,,
BRONX,12/10/2021,10458,,,6/17/2021,6,6,,
MANHATTAN,12/19/2021,10029,,,1/6/2022,60,60,,
BROOKLYN,6/23/2021,11221,,,12/22/2021,32,32,,
BROOKLYN,12/7/2021,11214,,,12/16/2021,48,48,,
BROOKLYN,12/28/2021,11220,,,10/28/2021,18,18,,
BROOKLYN,9/29/2021,11212,,,12/3/2021,14,14,,
BROOKLYN,8/8/2021,11220,,,11/10/2021,34,34,,
QUEENS,10/1/2021,11432,,,9/18/2021,7,7,,
BROOKLYN,11/29/2021,11233,,,6/15/2021,20,20,,
MANHATTAN,10/5/2021,10032,,,7/30/2021,35,35,,
MANHATTAN,7/29/2021,10026,,,10/11/2021,7,7,,
BROOKLYN,11/8/2021,11218,,,8/19/2021,58,58,,
BROOKLYN,8/9/2021,11223,,,12/9/2021,40,40,,
QUEENS,8/25/2021,11435,,,1/1/2022,22,22,,
QUEENS,9/26/2021,11101,,,6/21/2021,10,10,,
MANHATTAN,12/26/2021,10002,,,12/23/2021,2,2,,
MANHATTAN,10/4/2021,10012,,,12/20/2021,56,56,,
QUEENS,9/29/2021,11420,,,6/3/2021,23,23,,
QUEENS,9/30/2021,11368,,,9/3/2021,10,10,,
BROOKLYN,9/29/2021,11212,,,11/3/2021,25,25,,
QUEENS,9/29/2021,11368,,,8/18/2021,72,72,,
MANHATTAN,6/23/2021,10012,,,7/16/2021,4,4,,
BROOKLYN,12/6/2021,11214,,,5/7/2021,4,4,,
BRONX,11/24/2021,10459,,,12/15/2021,29,29,,
BROOKLYN,10/27/2021,11218,,,6/11/2021,13,13,,
BROOKLYN,12/8/2021,11232,,,12/13/2021,31,31,,
QUEENS,9/28/2021,11368,,,7/6/2021,16,16,,
BRONX,6/17/2021,10463,,,6/28/2021,13,13,,
BRONX,12/28/2021,10453,,,8/10/2021,38,38,,
BROOKLYN,9/28/2021,11215,,,4/16/2021,1,1,,
QUEENS,11/29/2021,11368,,,9/17/2021,32,32,,
BROOKLYN,1/6/2022,11220,,,10/30/2021,9,9,,
STATEN ISLAND,6/25/2021,10310,,,9/1/2021,23,23,,
QUEENS,12/2/2021,11418,,,8/2/2021,9,9,,
MANHATTAN,9/20/2021,10003,,,9/7/2021,9,9,,
MANHATTAN,12/1/2021,10002,,,8/21/2021,22,22,,
BROOKLYN,7/29/2021,11232,,,9/27/2021,7,7,,
BRONX,12/22/2021,10453,,,11/1/2021,11,11,,
